output_file,status,transparent,character_id,character_cn,character_source,naming_role,talent_slot,talent_type,talent_type_cn,talent_name_en,talent_name_cn,parent_talent_name_en,parent_talent_name_cn,description_cn,description_en,source_filename,talent_page,source_page,source_url,sha1
1011_T01.png,downloaded,unknown,1011,丽莎,Lisa,skill,combat2,Elemental Skill,元素战技,Violet Arc,苍雷,,,"导引雷电的力量，把麻烦的东西都清理干净。

点按
放出能自行索敌的球形闪电。
命中时，会造成雷元素伤害，并对小范围内的敌人施加至多叠加3层的引雷状态。

长按
持续咏唱后，召唤雷电从天而降，对附近的所有敌人造成大量雷元素伤害。
对处于引雷状态下的敌人，会根据叠加层数造成大量额外伤害，并清除引雷效果。","Channels the power of lightning to sweep bothersome matters away.

Press
Releases a homing Lightning Orb.
On hit, it deals Electro DMG and applies a stack of the Conductive status (max 3 stacks) to opponents in a small AoE.

Hold
After an extended casting time, calls down lightning from the heavens, dealing massive Electro DMG to all nearby opponents.
Deals great amounts of extra damage to opponents based on the number of Conductive stacks applied to them, and clears their Conductive status.",Talent Violet Arc.png,https://genshin-impact.fandom.com/wiki/Violet_Arc,https://genshin-impact.fandom.com/wiki/File%3ATalent_Violet_Arc.png,https://static.wikia.nocookie.net/gensin-impact/images/c/c8/Talent_Violet_Arc.png/revision/latest?cb=20210607092641,e6329856ad1d943f61b77808e3865adcee0137db
1011_T02.png,downloaded,unknown,1011,丽莎,Lisa,burst,combat3,Elemental Burst,元素爆发,Lightning Rose,蔷薇的雷光,,,"召唤蔷薇雷光，释放强大的雷电之力，击退周围的敌人并造成雷元素伤害。
存在期间内，蔷薇雷光会持续放电攻击附近的敌人，造成雷元素伤害。","Summons a Lightning Rose that unleashes powerful lightning bolts, launching surrounding opponents and dealing Electro DMG.
The Lightning Rose will continuously emit lightning to knock back opponents and deal Electro DMG throughout the ability's duration.",Talent Lightning Rose.png,https://genshin-impact.fandom.com/wiki/Lightning_Rose,https://genshin-impact.fandom.com/wiki/File%3ATalent_Lightning_Rose.png,https://static.wikia.nocookie.net/gensin-impact/images/f/fd/Talent_Lightning_Rose.png/revision/latest?cb=20210607090930,c4abdb4cd15e041b37059a193b8789218c69f8d0
1011_T03.png,downloaded,unknown,1011,丽莎,Lisa,passive,passive1,1st Ascension Passive,突破天赋1,Induced Aftershock,电感余震,,,重击命中时，会为敌人附加苍雷的引雷效果。,Hits by Charged Attacks apply Violet Arc's Conductive status to opponents.,Talent Induced Aftershock.png,https://genshin-impact.fandom.com/wiki/Induced_Aftershock,https://genshin-impact.fandom.com/wiki/File%3ATalent_Induced_Aftershock.png,https://static.wikia.nocookie.net/gensin-impact/images/4/48/Talent_Induced_Aftershock.png/revision/latest?cb=20210607090659,ca458a3e20b50e24d5cdf440e5234d309de516de
1011_T04.png,skipped_existing,unknown,1011,丽莎,Lisa,passive,passive2,4th Ascension Passive,突破天赋2,Static Electricity Field,静电场力,,,敌人受到蔷薇的雷光攻击后，降低15%防御力，持续10秒。,Opponents hit by Lightning Rose have their DEF decreased by 15% for 10s.,Talent Static Electricity Field.png,https://genshin-impact.fandom.com/wiki/Static_Electricity_Field,https://genshin-impact.fandom.com/wiki/File%3ATalent_Static_Electricity_Field.png,https://static.wikia.nocookie.net/gensin-impact/images/9/9a/Talent_Static_Electricity_Field.png/revision/latest?cb=20210607092149,fee0f4786d6b9e4236824a66e006d974d43123d7
1011_T05.png,downloaded,unknown,1011,丽莎,Lisa,passive,passive3,Utility Passive,探索天赋,General Pharmaceutics,药剂通识,,,合成药剂时，有20%概率返还部分合成材料。,"When Lisa crafts a potion, she has a 20% chance to refund a portion of the crafting materials used.",Talent General Pharmaceutics.png,https://genshin-impact.fandom.com/wiki/General_Pharmaceutics,https://genshin-impact.fandom.com/wiki/File%3ATalent_General_Pharmaceutics.png,https://static.wikia.nocookie.net/gensin-impact/images/7/7c/Talent_General_Pharmaceutics.png/revision/latest?cb=20210607090233,6fda9b61589cb1bfaf1156ed544c1292367d37e0
1011_T06.png,skipped_existing,unknown,1011,丽莎,Lisa,extra,,,,Witch of Purple Rose,,,,,,Talent Witch of Purple Rose.png,https://genshin-impact.fandom.com/wiki/Witch_of_Purple_Rose,https://genshin-impact.fandom.com/wiki/File%3ATalent_Witch_of_Purple_Rose.png,https://static.wikia.nocookie.net/gensin-impact/images/2/2d/Talent_Witch_of_Purple_Rose.png/revision/latest?cb=20200603084858,ff985a0448c3e25319428fc937f72b94a8f6c151
1012_T01.png,downloaded,unknown,1012,温迪,Venti,skill,combat2,Elemental Skill,元素战技,Skyward Sonnet,高天之歌,,,"呼唤与诗和乐协鸣的风，将在尘泥中行走的事物送上高空吧。

点按
在敌人所在的位置唤出风域，造成风元素范围伤害，并击飞其中的敌人。

长按
以自身为中心，唤出更大的风域，造成风元素范围伤害，并击飞其中的敌人。
长按施放后，温迪会乘风飞到空中。

被高天之歌击飞的敌人，在短时间内会缓慢坠落。","O wind upon which all hymns and songs fly, bear these earth-walkers up into the sky!

Press
Summons a Wind Domain at the opponent's location, dealing AoE Anemo DMG and launching opponents into the air.

Hold
Summons an even larger Wind Domain with Venti as the epicenter, dealing AoE Anemo DMG and launching affected opponents into the air.
After unleashing the Hold version of this ability, Venti rides the wind into the air.

Opponents hit by Skyward Sonnet will fall to the ground slowly.",Talent Skyward Sonnet.png,https://genshin-impact.fandom.com/wiki/Skyward_Sonnet,https://genshin-impact.fandom.com/wiki/File%3ATalent_Skyward_Sonnet.png,https://static.wikia.nocookie.net/gensin-impact/images/1/17/Talent_Skyward_Sonnet.png/revision/latest?cb=20210607091913,ac54118310555d6d7a5052cfee3c558f1b9741eb
1012_T02.png,downloaded,unknown,1012,温迪,Venti,burst,combat3,Elemental Burst,元素爆发,Wind's Grand Ode,风神之诗,,,"射出千风汇聚而成的箭矢，在前方造出巨大的暴风之眼，将敌人卷入，持续造成风元素伤害。

元素转化
若暴风之眼在技能持续期间接触了水元素/火元素/冰元素/雷元素，则会获得对应元素属性，额外造成该元素的附加伤害。
元素转化在技能持续期间仅会发生一次。","Fires off an arrow made of countless coalesced winds, creating a huge Stormeye that sucks in opponents and deals continuous Anemo DMG.

Elemental Absorption
If the Stormeye comes into contact with Hydro/Pyro/Cryo/Electro, it will deal additional elemental DMG of that type.
Elemental Absorption may only occur once per use.",Talent Wind's Grand Ode.png,https://genshin-impact.fandom.com/wiki/Wind%27s_Grand_Ode,https://genshin-impact.fandom.com/wiki/File%3ATalent_Wind%27s_Grand_Ode.png,https://static.wikia.nocookie.net/gensin-impact/images/3/32/Talent_Wind%27s_Grand_Ode.png/revision/latest?cb=20210607092753,df7d4225b7050b523685c582382838fca479c8ad
1012_T03.png,downloaded,unknown,1012,温迪,Venti,passive,passive1,1st Ascension Passive,突破天赋1,Embrace of Winds,绪风之拥,,,长按高天之歌后，会产生上升气流，持续20秒。,Holding Skyward Sonnet creates an upcurrent that lasts for 20s.,Talent Embrace of Winds.png,https://genshin-impact.fandom.com/wiki/Embrace_of_Winds,https://genshin-impact.fandom.com/wiki/File%3ATalent_Embrace_of_Winds.png,https://static.wikia.nocookie.net/gensin-impact/images/7/70/Talent_Embrace_of_Winds.png/revision/latest?cb=20210607085739,615239f961fd117c54dfe5d9f37ed1a7d1376b78
1012_T04.png,downloaded,unknown,1012,温迪,Venti,passive,passive2,4th Ascension Passive,突破天赋2,Stormeye,暴风之眼,,,"风神之诗效果结束后，会为温迪恢复15点元素能量；
若产生了元素转化，则同样为队伍中所有对应元素的角色恢复15点元素能量。","Regenerates 15 Energy for Venti after the effects of Wind's Grand Ode end.
If an Elemental Absorption occurred, this also restores 15 Energy to all characters of that corresponding element in the party.",Talent Stormeye.png,https://genshin-impact.fandom.com/wiki/Stormeye,https://genshin-impact.fandom.com/wiki/File%3ATalent_Stormeye.png,https://static.wikia.nocookie.net/gensin-impact/images/b/b2/Talent_Stormeye.png/revision/latest?cb=20210607092319,ff383708105d44c8c2b046b248483700203b3702
1012_T05.png,downloaded,unknown,1012,温迪,Venti,passive,passive3,Utility Passive,探索天赋,Windrider,恒风随行,,,"队伍中自己的角色滑翔消耗的体力降低20%。
无法与效果完全相同的固有天赋叠加。","Decreases gliding Stamina consumption for your own party members by 20%.
Not stackable with Passive Talents that provide the exact same effects.",Talent Windrider.png,https://genshin-impact.fandom.com/wiki/Windrider,https://genshin-impact.fandom.com/wiki/File%3ATalent_Windrider.png,https://static.wikia.nocookie.net/gensin-impact/images/0/05/Talent_Windrider.png/revision/latest?cb=20210607092806,6c5b5ee57284f4607b863a20f3a19ff9f6f55878
1012_T06.png,downloaded,unknown,1012,温迪,Venti,extra,,,,Temporal Wind's Eulogy,,,,,,Talent Temporal Wind's Eulogy.png,https://genshin-impact.fandom.com/wiki/Temporal_Wind%27s_Eulogy,https://genshin-impact.fandom.com/wiki/File%3ATalent_Temporal_Wind%27s_Eulogy.png,https://static.wikia.nocookie.net/gensin-impact/images/2/2d/Talent_Temporal_Wind%27s_Eulogy.png/revision/latest?cb=20251204235656,58ac0789a461a151fefe0cbfdd18af5166816cab
1012_T07.png,downloaded,unknown,1012,温迪,Venti,extra,,,,Wherever a Breeze Blows,,,,,,Talent Wherever a Breeze Blows.png,https://genshin-impact.fandom.com/wiki/Wherever_a_Breeze_Blows,https://genshin-impact.fandom.com/wiki/File%3ATalent_Wherever_a_Breeze_Blows.png,https://static.wikia.nocookie.net/gensin-impact/images/0/03/Talent_Wherever_a_Breeze_Blows.png/revision/latest?cb=20251213121459,1daaf283df0362d0dade01125e39479738fd6485
1013_T01.png,downloaded,unknown,1013,琴,Jean,skill,combat2,Elemental Skill,元素战技,Gale Blade,风压剑,,,"将无形的风之力汇聚在剑上，释放微型的风暴，将敌人向瞄准的方向击飞，造成大量风元素伤害。

长按
以持续消耗体力为代价，令旋风将周围的敌人与物体牵引至面前。
可以调整方向。
期间无法移动。","Focusing the might of the formless wind around her blade, Jean releases a miniature storm, launching opponents in the direction she aims at, dealing massive Anemo DMG.

Hold
At the cost of continued stamina consumption, Jean can command the whirlwind to pull surrounding opponents and objects towards her front.
Direction can be adjusted.
Character is immobile during skill duration.",Talent Gale Blade.png,https://genshin-impact.fandom.com/wiki/Gale_Blade,https://genshin-impact.fandom.com/wiki/File%3ATalent_Gale_Blade.png,https://static.wikia.nocookie.net/gensin-impact/images/2/24/Talent_Gale_Blade.png/revision/latest?cb=20210607090209,025311ecb5c0ff904fa704f1d30f24df28d68ffe
1013_T02.png,skipped_existing,unknown,1013,琴,Jean,burst,combat3,Elemental Burst,元素爆发,Dandelion Breeze,蒲公英之风,,,"呼唤风的护佑，创造千风涌动的蒲公英领域，击退周围的敌人并造成风元素伤害。
同时，为队伍中的所有角色瞬间恢复大量生命值，回复量受益于琴的攻击力。

蒲公英领域
·为其中的角色持续恢复生命值；
·令其中的角色持续受到风元素影响；
·对出入领域的敌人造成风元素伤害。","Calling upon the wind's protection, Jean creates a swirling Dandelion Field, launching surrounding opponents and dealing Anemo DMG.
At the same time, she instantly regenerates a large amount of HP for all party members. The amount of HP restored scales off Jean's ATK.

Dandelion Field
·Continuously regenerates HP of characters within the AoE and continuously imbues them with Anemo.
·Deals Anemo DMG to opponents entering or exiting the Dandelion Field.",Talent Dandelion Breeze.png,https://genshin-impact.fandom.com/wiki/Dandelion_Breeze,https://genshin-impact.fandom.com/wiki/File%3ATalent_Dandelion_Breeze.png,https://static.wikia.nocookie.net/gensin-impact/images/e/ef/Talent_Dandelion_Breeze.png/revision/latest?cb=20210607085505,a0c485e21096994dcc8ca2ec39dd8b495b428ddc
1013_T03.png,downloaded,unknown,1013,琴,Jean,passive,passive1,1st Ascension Passive,突破天赋1,Wind Companion,顺风而行,,,琴的普通攻击命中时，有50%的几率为队伍中所有角色恢复等同于琴攻击力15%的生命值。,"On hit, Jean's Normal Attacks have a 50% chance to regenerate HP equal to 15% of Jean's ATK for all party members.",Talent Wind Companion.png,https://genshin-impact.fandom.com/wiki/Wind_Companion,https://genshin-impact.fandom.com/wiki/File%3ATalent_Wind_Companion.png,https://static.wikia.nocookie.net/gensin-impact/images/7/79/Talent_Wind_Companion.png/revision/latest?cb=20210607092818,ef7507078dc5d58a5897bf8b9efcd5f2ba530f3a
1013_T04.png,downloaded,unknown,1013,琴,Jean,passive,passive2,4th Ascension Passive,突破天赋2,Let the Wind Lead,听凭风引,,,使用蒲公英之风后，恢复20%元素能量。,Using Dandelion Breeze will regenerate 20% of its Energy.,Talent Let the Wind Lead.png,https://genshin-impact.fandom.com/wiki/Let_the_Wind_Lead,https://genshin-impact.fandom.com/wiki/File%3ATalent_Let_the_Wind_Lead.png,https://static.wikia.nocookie.net/gensin-impact/images/1/1d/Talent_Let_the_Wind_Lead.png/revision/latest?cb=20210607090854,5dc52cbfe1c8c8cd000a29497e37d1168e0958de
1013_T05.png,downloaded,unknown,1013,琴,Jean,passive,passive3,Utility Passive,探索天赋,Guiding Breeze,引领之风,,,完美烹饪恢复类食物时，有12%概率获得2倍产出。,"When a Perfect Cooking is achieved on a dish with restorative effects, there is a 12% chance to obtain double the product.",Talent Guiding Breeze.png,https://genshin-impact.fandom.com/wiki/Guiding_Breeze,https://genshin-impact.fandom.com/wiki/File%3ATalent_Guiding_Breeze.png,https://static.wikia.nocookie.net/gensin-impact/images/c/cc/Talent_Guiding_Breeze.png/revision/latest?cb=20210607090437,e78ddb1fea5807c74e231bc3dd762c051eb8a19a
1013_T06.png,downloaded,unknown,1013,琴,Jean,extra,,,,Continuous Improvement,,,,,,Talent Continuous Improvement.png,https://genshin-impact.fandom.com/wiki/Continuous_Improvement,https://genshin-impact.fandom.com/wiki/File%3ATalent_Continuous_Improvement.png,https://static.wikia.nocookie.net/gensin-impact/images/0/0c/Talent_Continuous_Improvement.png/revision/latest?cb=20200820120948,e8fe7a89bec704e7d7dc36cac6684d03d67a1290
1014_T01.png,downloaded,unknown,1014,芭芭拉,Barbara,skill,combat2,Elemental Skill,元素战技,Let the Show Begin♪,演唱，开始♪,,,"唤出歌声般跃动的水珠，形成歌声之环，对周围的敌人造成水元素伤害，并施加潮湿状态。

歌声之环
·芭芭拉的普通攻击命中时，为队伍中自己的角色，以及附近的友方角色恢复生命值，回复量受益于芭芭拉的生命值上限；
·重击命中时，能产生4倍回复量；
·每隔一段时间，为当前场上自己的角色恢复生命值；
·对角色与触及的敌人施加潮湿状态。","Summons water droplets resembling musical notes that form a Melody Loop, dealing Hydro DMG to surrounding opponents and applying the Wet status to them.

Melody Loop
·On hit, Barbara's Normal Attacks heal your own party members and nearby teammates for a certain amount of HP, which scales with Barbara's Max HP.
·On hit, Barbara's Charged Attack generates 4 times the amount of healing.
·Periodically regenerates your own active character's HP.
·Applies the Wet status to the character and to opponents who come in contact with them.",Talent Let the Show Begin♪.png,https://genshin-impact.fandom.com/wiki/Let_the_Show_Begin%E2%99%AA,https://genshin-impact.fandom.com/wiki/File%3ATalent_Let_the_Show_Begin%E2%99%AA.png,https://static.wikia.nocookie.net/gensin-impact/images/9/95/Talent_Let_the_Show_Begin%E2%99%AA.png/revision/latest?cb=20210607090841,7ee52bc8582bbf3eb14c5a2dbabf96296bce6f69
1014_T02.png,downloaded,unknown,1014,芭芭拉,Barbara,burst,combat3,Elemental Burst,元素爆发,Shining Miracle♪,闪耀奇迹♪,,,为附近的友方角色及队伍中自己的角色恢复大量生命值，回复量受益于芭芭拉的生命值上限。,Heals your own party members and nearby teammates for a large amount of HP that scales with Barbara's Max HP.,Talent Shining Miracle♪.png,https://genshin-impact.fandom.com/wiki/Shining_Miracle%E2%99%AA,https://genshin-impact.fandom.com/wiki/File%3ATalent_Shining_Miracle%E2%99%AA.png,https://static.wikia.nocookie.net/gensin-impact/images/c/cb/Talent_Shining_Miracle%E2%99%AA.png/revision/latest?cb=20210607091837,ecbf38565cc5fc51c74063c7e41d7b56d0b4c305
1014_T03.png,downloaded,unknown,1014,芭芭拉,Barbara,passive,passive1,1st Ascension Passive,突破天赋1,Glorious Season,光辉的季节,,,角色在演唱，开始♪的歌声之环中时，体力消耗降低12%。,The Stamina Consumption of characters within Let the Show Begin♪'s Melody Loop is reduced by 12%.,Talent Glorious Season.png,https://genshin-impact.fandom.com/wiki/Glorious_Season,https://genshin-impact.fandom.com/wiki/File%3ATalent_Glorious_Season.png,https://static.wikia.nocookie.net/gensin-impact/images/4/49/Talent_Glorious_Season.png/revision/latest?cb=20210607090333,8b950c23ef1205363c9ca51ea0fac2e68730f6e3
1014_T04.png,downloaded,unknown,1014,芭芭拉,Barbara,passive,passive2,4th Ascension Passive,突破天赋2,Encore,安可,,,"当前场上自己的角色获得元素晶球或元素微粒时，延长演唱，开始♪歌声之环持续时间1秒。
通过这种方式，至多延长5秒。","When your active character gains an Elemental Orb/Particle, the duration of the Melody Loop of Let the Show Begin♪ is extended by 1s.
The maximum extension is 5s.",Talent Encore.png,https://genshin-impact.fandom.com/wiki/Encore,https://genshin-impact.fandom.com/wiki/File%3ATalent_Encore.png,https://static.wikia.nocookie.net/gensin-impact/images/3/3f/Talent_Encore.png/revision/latest?cb=20210607085750,3f771bd19e90ef6f338e2b77a007dbd2aeca3eec
1014_T05.png,skipped_existing,unknown,1014,芭芭拉,Barbara,passive,passive3,Utility Passive,探索天赋,With My Whole Heart♪,心意♪注入,,,完美烹饪恢复类食物时，有12%概率获得2倍产出。,"When a Perfect Cooking is achieved on a dish with restorative effects, there is a 12% chance to obtain double the product.",Talent With My Whole Heart♪.png,https://genshin-impact.fandom.com/wiki/With_My_Whole_Heart%E2%99%AA,https://genshin-impact.fandom.com/wiki/File%3ATalent_With_My_Whole_Heart%E2%99%AA.png,https://static.wikia.nocookie.net/gensin-impact/images/4/4f/Talent_With_My_Whole_Heart%E2%99%AA.png/revision/latest?cb=20210607092843,bc0220b179988e55b29d8f8706fd89cab9c763a6
1015_T01.png,downloaded,unknown,1015,迪卢克,Diluc,skill,combat2,Elemental Skill,元素战技,Searing Onslaught,逆焰之刃,,,"挥舞大剑向前劈砍，造成火元素伤害。

可以连续施放3次。
若在短时间内没有施放，则会进入冷却。","Performs a forward slash that deals Pyro DMG.

This skill can be consecutively used 3 times.
Enters CD if not cast again within a short period.",Talent Searing Onslaught.png,https://genshin-impact.fandom.com/wiki/Searing_Onslaught,https://genshin-impact.fandom.com/wiki/File%3ATalent_Searing_Onslaught.png,https://static.wikia.nocookie.net/gensin-impact/images/5/53/Talent_Searing_Onslaught.png/revision/latest?cb=20210607091725,f2e32d2a1b903535070e0ab81c6472212d8baf4b
1015_T02.png,skipped_existing,unknown,1015,迪卢克,Diluc,burst,combat3,Elemental Burst,元素爆发,Dawn,黎明,,,"爆发出烈焰的力量，击退周围的敌人，造成火元素伤害。随后，将烈焰凝聚在武器上，挥出向前飞行的火之鸟，对路径上的敌人造成高额火元素伤害，并在火之鸟行进的终点爆裂造成大量的火元素范围伤害。
武器上凝聚的烈焰会使迪卢克获得火元素附魔。","Releases intense flames to knock back nearby opponents, dealing Pyro DMG. The flames then converge into the weapon, summoning a Phoenix that flies forward and deals massive Pyro DMG to all opponents in its path. The Phoenix explodes upon reaching its destination, causing a large amount of AoE Pyro DMG.
The searing flames that run down his blade cause it to be infused with Pyro.",Talent Dawn.png,https://genshin-impact.fandom.com/wiki/Dawn,https://genshin-impact.fandom.com/wiki/File%3ATalent_Dawn.png,https://static.wikia.nocookie.net/gensin-impact/images/f/f5/Talent_Dawn.png/revision/latest?cb=20210607085517,b2b3ebd612174495eea2c6254ee4185ad41cb6d2
1015_T03.png,skipped_existing,unknown,1015,迪卢克,Diluc,passive,passive1,1st Ascension Passive,突破天赋1,Relentless,永不休止,,,迪卢克的重击体力消耗降低50%，最大持续时间增加3秒。,"Diluc's Charged Attack Stamina Cost is decreased by 50%, and its duration is increased by 3s.",Talent Relentless.png,https://genshin-impact.fandom.com/wiki/Relentless,https://genshin-impact.fandom.com/wiki/File%3ATalent_Relentless.png,https://static.wikia.nocookie.net/gensin-impact/images/5/5f/Talent_Relentless.png/revision/latest?cb=20210607091519,b52e9e661e5917a33e9d70cc8354ed219bb559c3
