Path,Name,NodeType,Anchor,OffsetX,OffsetY,Width,Height,SizeMode,AssetMode,ExistingAssetPath,StreamingAssetPath,TemplateID,TemplateRole,LayoutVariant,BindingKey,AllowCrop,SliceBorder,Text
0037:角色栏/0038:角色1,角色1,Group,BottomLeft,165.0,121.0,242,210,Fixed,Group,,-,Group_91399027,template,,,False,,
0037:角色栏/0038:角色1/0039:头像,头像,Group,BottomLeft,105.5,135.5,123,123,Fixed,Group,,-,,,,,False,,
0037:角色栏/0038:角色1/0039:头像/component:FrameShadow,FrameShadow,Layer,BottomLeft,105.5,135.5,140.85,140.85,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/AvatarFrame/FrameShadow.png,,,,AvatarFrameShadow,False,,
0037:角色栏/0038:角色1/0039:头像/0040:矩形 6,矩形 6,Layer,BottomLeft,105.5,135.5,123,123,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/AvatarFrame/FrameSquare.png,,,,AvatarFrameSquare,False,,
0037:角色栏/0038:角色1/0039:头像/0041:1009_02,1009_02,Layer,BottomLeft,106.0,119.5,130,131,Uniform,DynamicStreaming,,art_assets/Character_Icon/{CharacterID}_02.png,,,,CharacterAvatar,True,,
0037:角色栏/0038:角色1/0039:头像/component:FrameInnerShadow,FrameInnerShadow,Layer,BottomLeft,105.5,135.5,123.00,123.00,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/AvatarFrame/FrameInnerShadow.png,,,,AvatarFrameInnerShadow,False,,
0037:角色栏/0038:角色1/0039:头像/component:FrameOutline,FrameOutline,Layer,BottomLeft,105.5,135.5,132.92,132.92,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/AvatarFrame/FrameOutline.png,,,,AvatarFrameOutline,False,,
0037:角色栏/0038:角色1/0042:爆发1,爆发1,Group,BottomLeft,234.0,172.0,104,108,Fixed,Group,,-,,,,,False,,
0037:角色栏/0038:角色1/0042:爆发1/0043:Icon_BG2,Icon_BG2,Layer,BottomLeft,234.0,169.5,104,103,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/LightBrownCircle.png,,,,LightCircle,False,,
0037:角色栏/0038:角色1/0042:爆发1/0044:Icon_BG1,Icon_BG1,Layer,BottomLeft,234.0,170.0,96,96,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/DeepBrownCircle.png,,,,DeepCircle,False,,
0037:角色栏/0038:角色1/0042:爆发1/0045:Elemental_BG2,Elemental_BG2,Layer,BottomLeft,233.5,169.0,91,90,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/LightBrownCircle.png,,,,LightCircle,False,,
0037:角色栏/0038:角色1/0042:爆发1/0046:Elemental_BG,Elemental_BG,Layer,BottomLeft,233.5,169.5,87,87,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/DeepBrownCircle.png,,,,BurstStateBackground,False,,
0037:角色栏/0038:角色1/0042:爆发1/0047:Icon_T02_01,Icon_T02_01,Layer,BottomLeft,235.0,168.0,86,80,Uniform,DynamicStreaming,,art_assets/Skill_Icon/{CharacterID}/{BurstIcon}.png,,,,BurstIcon,False,,
0037:角色栏/0038:角色1/0042:爆发1/0048:Invalid_Burst,Invalid_Burst,Layer,BottomLeft,232.5,172.0,57,58,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/invalid.png,,,,DisabledOverlay,False,,
0037:角色栏/0038:角色1/0042:爆发1/0049:3,3,Layer,BottomLeft,233.5,170.5,29,41,Fixed,Text,,-,,,,BurstCooldown,False,,3
0037:角色栏/0038:角色1/0042:爆发1/0050:BurstKey_BG,BurstKey_BG,Layer,BottomLeft,265.0,213.0,26,26,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/DeepBrownCircle.png,,,,DeepCircle,False,,
0037:角色栏/0038:角色1/0042:爆发1/0051:Burst_Key,Burst_Key,Layer,BottomLeft,265.5,212.0,7,18,Fixed,Text,,-,,,,,False,,1
0037:角色栏/0038:角色1/0052:生命之契,生命之契,Layer,BottomLeft,170.5,74.5,233,27,StretchX,Streaming,,art_assets/UI/BattleField1/UI_components/BloodBond.png,,,,BloodBond,False,,
0037:角色栏/0038:角色1/0053:状态栏,状态栏,Group,BottomLeft,166.0,35.5,208,39,Fixed,Group,,-,,,,,False,,
0037:角色栏/0038:角色1/0053:状态栏/0054:状态1,状态1,Group,BottomLeft,81.5,35.5,39,39,Fixed,Group,,-,Group_26b82da7,template,,,False,,
0037:角色栏/0038:角色1/0053:状态栏/0054:状态1/0055:椭圆 1,椭圆 1,Layer,BottomLeft,79.0,38.0,34,34,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/DeepBrownCircle.png,,,,DeepCircle,False,,
0037:角色栏/0038:角色1/0053:状态栏/0054:状态1/0056:UI_Icon_RoleCombat_FightBuff_01,UI_Icon_RoleCombat_FightBuff_01,Layer,BottomLeft,80.0,35.5,24,25,Uniform,DynamicStreaming,,art_assets/Status_Icon/{StatusIconPath},,,,StatusIcon,False,,
0037:角色栏/0038:角色1/0053:状态栏/0054:状态1/0057:3,3,Layer,BottomLeft,95.0,24.5,12,17,Fixed,Text,,-,,,,,False,,3
0037:角色栏/0038:角色1/0053:状态栏/0058:状态2,状态2,Instance,Template,43.5,0.0,33,34,Fixed,Instance,,-,Group_26b82da7,instance,,,False,,
0037:角色栏/0038:角色1/0053:状态栏/0061:状态3,状态3,Instance,Template,87.5,0.0,33,34,Fixed,Instance,,-,Group_26b82da7,instance,,,False,,
0037:角色栏/0038:角色1/0053:状态栏/0064:状态4,状态4,Instance,Template,130.5,0.0,33,34,Fixed,Instance,,-,Group_26b82da7,instance,,,False,,
0037:角色栏/0038:角色1/0053:状态栏/0067:状态5,状态5,Instance,Template,174.5,0.0,33,34,Fixed,Instance,,-,Group_26b82da7,instance,,,False,,
0037:角色栏/0038:角色1/0070:血条1（角色,血条1（角色,Group,BottomLeft,169.5,75.0,219,14,Fixed,Group,,-,,,,,False,,
0037:角色栏/0038:角色1/0070:血条1（角色/0071:矩形 3,矩形 3,Layer,BottomLeft,169.5,75.0,219,14,StretchX,Generated,,-,,,,ValueBar,False,,
0037:角色栏/0038:角色1/0070:血条1（角色/0072:血条上方柔光（角色,血条上方柔光（角色,Layer,BottomLeft,171.0,76.5,212,5,StretchX,Streaming,,art_assets/UI/BattleField1/UI_components/HPBarUpperLight.png,,,,HpUpperLight,False,,
0037:角色栏/0038:角色1/0070:血条1（角色/0073:血条下方阴影（角色,血条下方阴影（角色,Layer,BottomLeft,171.0,70.0,212,6,StretchX,Streaming,,art_assets/UI/BattleField1/UI_components/HPBarLowerShadow.png,,,,HpLowerShadow,False,,
0037:角色栏/0038:角色1/0074:786,786,Layer,BottomLeft,257.0,99.5,40,17,Fixed,Text,,-,,,,,False,,786
0037:角色栏/0075:角色2,角色2,Instance,Template,274.0,0.0,242,205,Fixed,Instance,,-,Group_91399027,instance,,,False,,
0037:角色栏/0110:角色3,角色3,Instance,Template,554.0,0.0,242,205,Fixed,Instance,,-,Group_91399027,instance,,,False,,
0037:角色栏/0144:角色4,角色4,Instance,Template,841.0,0.0,242,205,Fixed,Instance,,-,Group_91399027,instance,,,False,,
0178:敌人栏,敌人栏,Group,TopCenter,-196.0,-77.5,1476,105,Fixed,Group,,-,,,,,False,,
0178:敌人栏/0179:敌人1,敌人1,Group,TopRight,-556.0,-77.5,276,105,Fixed,Group,,-,Group_f03ff857,template,,,False,,
0178:敌人栏/0179:敌人1/0180:头像,头像,Group,TopCenter,305.5,-71.5,79,79,Fixed,Group,,-,,,,,False,,
0178:敌人栏/0179:敌人1/0180:头像/component:FrameShadow,FrameShadow,Layer,TopCenter,305.5,-71.5,90.47,90.47,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/AvatarFrame/FrameShadow.png,,,,AvatarFrameShadow,False,,
0178:敌人栏/0179:敌人1/0180:头像/0181:矩形 6,矩形 6,Layer,TopCenter,305.5,-71.5,79,79,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/AvatarFrame/FrameSquare.png,,,,AvatarFrameSquare,False,,
0178:敌人栏/0179:敌人1/0180:头像/0182:2020_01,2020_01,Layer,TopCenter,307.0,-65.0,64,64,Uniform,DynamicStreaming,,art_assets/Enemy_Icon/{EnemyID}_01.png,,,,EnemyAvatar,True,,
0178:敌人栏/0179:敌人1/0180:头像/component:FrameInnerShadow,FrameInnerShadow,Layer,TopCenter,305.5,-71.5,79.00,79.00,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/AvatarFrame/FrameInnerShadow.png,,,,AvatarFrameInnerShadow,False,,
0178:敌人栏/0179:敌人1/0180:头像/component:FrameOutline,FrameOutline,Layer,TopCenter,305.5,-71.5,85.37,85.37,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/AvatarFrame/FrameOutline.png,,,,AvatarFrameOutline,False,,
0178:敌人栏/0179:敌人1/0183:Lv.99 水史莱姆,Lv.99 水史莱姆,Layer,TopRight,-547.0,-35.0,154,20,Fixed,Text,,-,,,,EnemyLevelName,False,,Lv.99  水史莱姆
0178:敌人栏/0179:敌人1/0184:血条1,血条1,Group,TopRight,-518.0,-65.0,172,28,Fixed,Group,,-,,,,,False,,
0178:敌人栏/0179:敌人1/0184:血条1/0185:矩形 3,矩形 3,Layer,TopRight,-518.0,-72.0,172,14,StretchX,Generated,,-,,,,ValueBar,False,,
0178:敌人栏/0179:敌人1/0184:血条1/0186:血条上方柔光,血条上方柔光,Layer,TopRight,-517.5,-69.0,163,4,StretchX,Streaming,,art_assets/UI/BattleField1/UI_components/HPBarUpperLight.png,,,,HpUpperLight,False,,
0178:敌人栏/0179:敌人1/0184:血条1/0187:血条下方阴影,血条下方阴影,Layer,TopRight,-516.5,-76.0,163,4,StretchX,Streaming,,art_assets/UI/BattleField1/UI_components/HPBarLowerShadow.png,,,,HpLowerShadow,False,,
0178:敌人栏/0179:敌人1/0184:血条1/0188:血槽1,血槽1,Layer,TopRight,-592.5,-57.5,9,9,StretchX,Generated,,-,,,,ValueBar,False,,
0178:敌人栏/0179:敌人1/0184:血条1/0189:血槽2（空,血槽2（空,Layer,TopRight,-576.5,-57.5,13,13,StretchX,Generated,,-,,,,ValueBar,False,,
0178:敌人栏/0179:敌人1/0190:敌人状态区,敌人状态区,Group,TopRight,-509.0,-109.5,182,41,Fixed,Group,,-,,,,,False,,
0178:敌人栏/0179:敌人1/0190:敌人状态区/0191:状态1,状态1,Instance,Template,-95.0,0.0,33,33,Fixed,Instance,,-,Group_a6479229,instance,,,False,,
0178:敌人栏/0179:敌人1/0190:敌人状态区/0194:状态1,状态1,Instance,Template,-48.5,0.5,34,34,Fixed,Instance,,-,Group_a6479229,instance,,,False,,
0178:敌人栏/0179:敌人1/0190:敌人状态区/0197:状态1,状态1,Group,TopRight,-484.5,-110.0,41,40,Fixed,Group,,-,Group_a6479229,template,,,False,,
0178:敌人栏/0179:敌人1/0190:敌人状态区/0197:状态1/0198:椭圆 1,椭圆 1,Layer,TopRight,-488.5,-106.5,33,33,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/DeepBrownCircle.png,,,,DeepCircle,False,,
0178:敌人栏/0179:敌人1/0190:敌人状态区/0197:状态1/0199:UI_Icon_RoleCombat_FightBuff_01,UI_Icon_RoleCombat_FightBuff_01,Layer,TopRight,-488.0,-108.5,24,25,Uniform,DynamicStreaming,,art_assets/Status_Icon/{StatusIconPath},,,,StatusIcon,False,,
0178:敌人栏/0179:敌人1/0190:敌人状态区/0197:状态1/0200:50,50,Layer,TopRight,-478.0,-121.5,28,17,Fixed,Text,,-,,,,,False,,50
0178:敌人栏/0179:敌人1/0190:敌人状态区/0201:状态1,状态1,Instance,Template,48.0,0.0,39,40,Fixed,Instance,,-,Group_a6479229,instance,,,False,,
0178:敌人栏/0205:敌人2,敌人2,Instance,Template,-294.0,-1.0,276,105,Fixed,Instance,,-,Group_f03ff857,instance,,,False,,
0178:敌人栏/0231:敌人2 拷贝,敌人2 拷贝,Instance,Template,-593.0,-1.0,276,105,Fixed,Instance,,-,Group_f03ff857,instance,,,False,,
0178:敌人栏/0257:敌人2 拷贝 2,敌人2 拷贝 2,Instance,Template,-896.0,-1.0,277,105,Fixed,Instance,,-,Group_f03ff857,instance,,,False,,
0178:敌人栏/0283:敌人2 拷贝 3,敌人2 拷贝 3,Instance,Template,-1200.0,-1.0,276,105,Fixed,Instance,,-,Group_f03ff857,instance,,,False,,
0309:Boss,Boss,Group,TopCenter,-52.5,-87.5,943,135,Fixed,Group,,-,,,,,False,,
0309:Boss/0310:头像,头像,Group,TopLeft,482.5,-95.5,93,93,Fixed,Group,,-,,,,,False,,
0309:Boss/0310:头像/component:FrameShadow,FrameShadow,Layer,TopLeft,482.5,-95.5,106.50,106.50,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/AvatarFrame/FrameShadow.png,,,,AvatarFrameShadow,False,,
0309:Boss/0310:头像/0311:矩形 6,矩形 6,Layer,TopLeft,482.5,-95.5,93,93,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/AvatarFrame/FrameSquare.png,,,,AvatarFrameSquare,False,,
0309:Boss/0310:头像/0312:2020_01,2020_01,Layer,TopLeft,483.5,-87.5,75,75,Uniform,DynamicStreaming,,art_assets/Enemy_Icon/{EnemyID}_01.png,,,,EnemyAvatar,True,,
0309:Boss/0310:头像/component:FrameInnerShadow,FrameInnerShadow,Layer,TopLeft,482.5,-95.5,93.00,93.00,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/AvatarFrame/FrameInnerShadow.png,,,,AvatarFrameInnerShadow,False,,
0309:Boss/0310:头像/component:FrameOutline,FrameOutline,Layer,TopLeft,482.5,-95.5,100.50,100.50,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/AvatarFrame/FrameOutline.png,,,,AvatarFrameOutline,False,,
0309:Boss/0313:Lv.99,Lv.99,Layer,TopLeft,542.0,-51.0,58,18,Fixed,Text,,-,,,,EnemyLevel,False,,Lv.99
0309:Boss/0314:水史莱姆,水史莱姆,Layer,TopCenter,-1.0,-33.5,116,27,Fixed,Text,,-,,,,EnemyName,False,,水史莱姆
0309:Boss/0315:众水的歌者,众水的歌者,Layer,TopCenter,-1.0,-68.0,124,24,Fixed,Text,,-,,,,EnemyTitle,False,,众水的歌者
0309:Boss/0316:血条1,血条1,Group,TopCenter,-1.0,-85.0,840,36,Fixed,Group,,-,,,,,False,,
0309:Boss/0316:血条1/0317:矩形 7,矩形 7,Layer,TopCenter,-1.0,-94.5,840,17,StretchX,Generated,,-,,,,ValueBar,False,,
0309:Boss/0316:血条1/0318:血条上方柔光,血条上方柔光,Layer,TopCenter,0.0,-91.0,836,4,StretchX,Streaming,,art_assets/UI/BattleField1/UI_components/HPBarUpperLight.png,,,,HpUpperLight,False,,
0309:Boss/0316:血条1/0319:血条下方阴影,血条下方阴影,Layer,TopCenter,1.0,-100.0,830,4,StretchX,Streaming,,art_assets/UI/BattleField1/UI_components/HPBarLowerShadow.png,,,,HpLowerShadow,False,,
0309:Boss/0316:血条1/0320:血槽1,血槽1,Layer,TopLeft,550.5,-73.5,9,9,StretchX,Generated,,-,,,,ValueBar,False,,
0309:Boss/0316:血条1/0321:血槽2（空,血槽2（空,Layer,TopLeft,566.5,-73.5,13,13,StretchX,Generated,,-,,,,ValueBar,False,,
0309:Boss/0322:敌人状态区,敌人状态区,Group,TopLeft,632.5,-135.0,183,40,Fixed,Group,,-,,,,,False,,
0309:Boss/0322:敌人状态区/0323:状态1,状态1,Instance,Template,-94.5,0.0,34,33,Fixed,Instance,,-,Group_bd0ff1fa,instance,,,False,,
0309:Boss/0322:敌人状态区/0326:状态1,状态1,Instance,Template,-48.0,0.0,33,33,Fixed,Instance,,-,Group_bd0ff1fa,instance,,,False,,
0309:Boss/0322:敌人状态区/0329:状态1,状态1,Group,TopCenter,-303.5,-135.0,41,40,Fixed,Group,,-,Group_bd0ff1fa,template,,,False,,
0309:Boss/0322:敌人状态区/0329:状态1/0330:椭圆 1,椭圆 1,Layer,TopCenter,-307.5,-131.5,33,33,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/DeepBrownCircle.png,,,,DeepCircle,False,,
0309:Boss/0322:敌人状态区/0329:状态1/0331:UI_Icon_RoleCombat_FightBuff_01,UI_Icon_RoleCombat_FightBuff_01,Layer,TopCenter,-307.0,-133.5,24,25,Uniform,DynamicStreaming,,art_assets/Status_Icon/{StatusIconPath},,,,StatusIcon,False,,
0309:Boss/0322:敌人状态区/0329:状态1/0332:50,50,Layer,TopCenter,-296.5,-146.5,27,17,Fixed,Text,,-,,,,,False,,50
0309:Boss/0322:敌人状态区/0333:状态1,状态1,Instance,Template,48.0,0.0,40,40,Fixed,Instance,,-,Group_bd0ff1fa,instance,,,False,,
0337:技能,技能,Group,BottomRight,-496.5,119.0,417,120,Fixed,Group,,-,,,,,False,,
0337:技能/0338:技能1,技能1,Group,BottomCenter,307.5,119.0,105,120,Fixed,Group,,-,Group_542bf22d,template,,,False,,
0337:技能/0338:技能1/0339:Skill_Outline2,Skill_Outline2,Layer,BottomCenter,307.5,126.5,105,105,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/LightBrownCircle.png,,,,LightCircle,False,,
0337:技能/0338:技能1/0340:Skill_Outline1,Skill_Outline1,Layer,BottomCenter,307.5,126.5,99,99,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/DeepBrownCircle.png,,,,DeepCircle,False,,
0337:技能/0338:技能1/0341:Skill_BG,Skill_BG,Layer,BottomCenter,307.5,126.5,91,91,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/DeepBrownCircle.png,,,,SkillStateBackground,False,,
0337:技能/0338:技能1/0342:2_1_Pyro,2_1_Pyro,Layer,BottomCenter,307.5,126.5,91,91,Uniform,DynamicStreaming,,art_assets/Skill_Icon/{CharacterID}/{SkillIcon}.png,,,,SkillIcon,False,,
0337:技能/0338:技能1/0343:Cooldown_Time,Cooldown_Time,Layer,BottomCenter,306.0,125.5,34,41,Fixed,Text,,-,,,,CooldownTurns,False,,4
0337:技能/0338:技能1/0344:Invalid_Normal,Invalid_Normal,Layer,BottomCenter,306.5,128.0,57,58,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/invalid.png,,,,DisabledOverlay,False,,
0337:技能/0338:技能1/0345:Q,Q,Layer,BottomCenter,308.0,69.5,16,21,Fixed,Text,,-,,,,,False,,Q
0337:技能/0346:技能2,技能2,Instance,Template,155.0,0.0,105,118,Fixed,Instance,,-,Group_542bf22d,instance,,,False,,
0337:技能/0354:技能3,技能3,Instance,Template,312.0,0.0,105,117,Fixed,Instance,,-,Group_542bf22d,instance,,,False,,
0362:取消选择,取消选择,Group,BottomRight,-88.0,59.5,64,81,Fixed,Group,,-,,,,,False,,
0362:取消选择/0363:椭圆 2,椭圆 2,Layer,BottomRight,-88.0,67.5,64,65,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/LightBrownCircle.png,,,,LightCircle,False,,
0362:取消选择/0364:直线 1,直线 1,Layer,BottomRight,-88.0,67.0,26,26,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/Cancel.png,,,,CancelIcon,False,,
0362:取消选择/0365:X,X,Layer,BottomRight,-86.0,27.5,16,17,Fixed,Text,,-,,,,,False,,X
0366:换人,换人,Group,BottomRight,-208.0,59.5,64,81,Fixed,Group,,-,,,,,False,,
0366:换人/0367:椭圆 2,椭圆 2,Layer,BottomRight,-208.0,67.5,64,65,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/LightBrownCircle.png,,,,LightCircle,False,,
0366:换人/0368:Switch_Btn,Switch_Btn,Layer,BottomRight,-208.5,67.5,51,49,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/Switch.png,,,,SwitchIcon,False,,
0366:换人/0369:Invalid_Normal,Invalid_Normal,Layer,BottomRight,-208.5,68.0,41,42,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/invalid.png,,,,DisabledOverlay,False,,
0366:换人/0370:F,F,Layer,BottomRight,-207.5,27.5,13,17,Fixed,Text,,-,,,,,False,,F
0371:AP_Panel,AP_Panel,Group,BottomRight,-109.0,221.0,166,60,Fixed,Group,,-,,,,,False,,
0371:AP_Panel/0372:AP: 80/100,AP: 80/100,Layer,BottomRight,-109.0,203.0,166,24,Fixed,Text,,-,,,,,False,,AP: 80/100
0371:AP_Panel/0373:-20,-20,Layer,BottomRight,-120.5,239.0,53,24,Fixed,Text,,-,,,,,False,,-20
0371:AP_Panel/0374:+5,+5,Layer,BottomRight,-113.5,239.0,35,24,Fixed,Text,,-,,,,,False,,+5
0008:character/0018:CharacterCard1/0019:元素附着,元素附着,Layer,BottomRight,-625.5,323.5,39,41,Uniform,DynamicStreaming,,art_assets/Status_Icon/Element/{ElementIcon}.png,,,,ElementAura,False,,
0008:character/0018:CharacterCard1/0020:元素附着,元素附着,Layer,MiddleRight,-625.5,-171.5,39,41,Uniform,DynamicStreaming,,art_assets/Status_Icon/Element/{ElementIcon}.png,,,,ElementAura,False,,
0022:Enemy/0031:EnemyCard1/virtual:EnemyElementAura1,EnemyElementAura1,Layer,BottomCenter,-248.5,322.5,39,41,Uniform,DynamicStreaming,,art_assets/Status_Icon/Element/{ElementIcon}.png,,,,ElementAura,False,,
0022:Enemy/0031:EnemyCard1/virtual:EnemyElementAura2,EnemyElementAura2,Layer,MiddleCenter,-248.5,-172.5,39,41,Uniform,DynamicStreaming,,art_assets/Status_Icon/Element/{ElementIcon}.png,,,,ElementAura,False,,
